SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1222	6316150	1575173
9	1222	1747822	873911
10	1222	1887820	943910
0	1223	8071274	2522870
9	1223	906342	453171
10	1223	974176	487088
0	1224	6222576	1603599
9	1224	1793304	896652
10	1224	1935912	967956
0	1225	4360388	674987
9	1225	2692752	1346376
10	1225	2898652	1449326
0	1226	4336040	678058
9	1226	2702498	1351249
10	1226	2913254	1456627
0	1227	9951792	3449119
9	1227	0	0
10	1227	0	0
0	1228	6252272	1588010
9	1228	1777788	888894
10	1228	1921732	960866
0	1229	6236116	1566336
9	1229	1782906	891453
10	1229	1932770	966385
0	1230	8108240	2509881
9	1230	884594	442297
10	1230	958958	479479
0	1231	6269986	1587776
9	1231	1765080	882540
10	1231	1916726	958363
0	1232	6269896	1586959
9	1232	1762876	881438
10	1232	1919020	959510
0	1233	4444338	658266
9	1233	2634166	1317083
10	1233	2873288	1436644
0	1234	6245204	1590023
9	1234	1777790	888895
10	1234	1928798	964399
0	1235	6251250	1585896
9	1235	1770824	885412
10	1235	1929718	964859
0	1236	6258600	1580603
9	1236	1768762	884381
10	1236	1924430	962215
0	1237	6241374	1589348
9	1237	1775980	887990
10	1237	1934438	967219
0	1238	9951792	3449796
9	1238	0	0
10	1238	0	0
0	1239	4372410	662912
9	1239	2667334	1333667
10	1239	2912048	1456024
0	1240	6220598	1591958
9	1240	1781964	890982
10	1240	1949230	974615
0	1241	6252568	1600901
9	1241	1765844	882922
10	1241	1933380	966690
0	1242	8106268	2530520
9	1242	880254	440127
10	1242	965270	482635
0	1243	9951792	3461911
9	1243	0	0
10	1243	0	0
0	1244	8099024	2525553
9	1244	884528	442264
10	1244	968240	484120
0	1245	8102640	2532042
9	1245	879268	439634
10	1245	969884	484942
0	1246	9951792	3465393
9	1246	0	0
10	1246	0	0
0	1247	8090824	2535443
9	1247	888752	444376
10	1247	972216	486108
0	1248	9951792	3459773
9	1248	0	0
10	1248	0	0
0	1249	8109174	2519144
9	1249	877748	438874
10	1249	964870	482435
0	1250	9951792	3418072
9	1250	0	0
10	1250	0	0
0	1251	6248174	1601728
9	1251	1759514	879757
10	1251	1944104	972052
0	1252	9951792	3447116
9	1252	0	0
10	1252	0	0
0	1253	9951792	3455028
9	1253	0	0
10	1253	0	0
0	1254	9951792	3459220
9	1254	0	0
10	1254	0	0
0	1255	9951792	3448036
9	1255	0	0
10	1255	0	0
0	1256	9951792	3449290
9	1256	0	0
10	1256	0	0
0	1257	9951792	3466343
9	1257	0	0
10	1257	0	0
0	1258	8102738	2536141
9	1258	883706	441853
10	1258	965348	482674
0	1259	9951792	3474775
9	1259	0	0
10	1259	0	0
0	1260	8077930	2572160
9	1260	893302	446651
10	1260	980560	490280
0	1261	9951792	3495905
9	1261	0	0
10	1261	0	0
0	1262	9951792	3522320
9	1262	0	0
10	1262	0	0
0	1263	9951792	3524966
9	1263	0	0
10	1263	0	0
0	1264	9951792	3530221
9	1264	0	0
10	1264	0	0
0	1265	9951792	3545270
9	1265	0	0
10	1265	0	0
0	1266	9951792	3588991
9	1266	0	0
10	1266	0	0
0	1267	9951792	3593700
9	1267	0	0
10	1267	0	0
0	1268	9951792	3596099
9	1268	0	0
10	1268	0	0
0	1269	9951792	3599611
9	1269	0	0
10	1269	0	0
0	1270	9951792	3561660
9	1270	0	0
10	1270	0	0
0	1271	9951792	3612714
9	1271	0	0
10	1271	0	0
0	1272	9951792	3581612
9	1272	0	0
10	1272	0	0
0	1273	9951792	3602723
9	1273	0	0
10	1273	0	0
0	1274	9951792	3648331
9	1274	0	0
10	1274	0	0
0	1275	9951792	3646266
9	1275	0	0
10	1275	0	0
0	1276	9951792	3617110
9	1276	0	0
10	1276	0	0
0	1277	9951792	3619773
9	1277	0	0
10	1277	0	0
0	1278	9951792	3647827
9	1278	0	0
10	1278	0	0
0	1279	9951792	3649608
9	1279	0	0
10	1279	0	0
0	1280	9951792	3657943
9	1280	0	0
10	1280	0	0
0	1281	9951792	3679623
9	1281	0	0
10	1281	0	0
0	1282	9951792	3693737
9	1282	0	0
10	1282	0	0
0	1283	9951792	3712886
9	1283	0	0
10	1283	0	0
0	1284	9951792	3699488
9	1284	0	0
10	1284	0	0
0	1285	9951792	3669491
9	1285	0	0
10	1285	0	0
0	1286	9951792	3621540
9	1286	0	0
10	1286	0	0
0	1287	9951792	3556251
